ModelNumber,Name,Category,Colors,Status
"1107709","ZEO-LINE MIDDLE WEIGHT TIGHTS MEN'S","BASE LAYER","BK;DGN;LGY;NV","No mapping"
"1107712","ZEO-LINE EXPEDITION ROUND NECK SHIRT MEN'S","BASE LAYER","BK;NV","No mapping"
"1107713","ZEO-LINE EXPEDITION ROUND NECK SHIRT WOMEN'S","BASE LAYER","BK;BL","No mapping"
"1107714","ZEO-LINE EXPEDITION HIGH NECK SHIRT MEN'S","BASE LAYER","BK;NV","No mapping"
"1107715","ZEO-LINE EXPEDITION HIGH NECK SHIRT WOMEN'S","BASE LAYER","BK","No mapping"
"1107716","ZEO-LINE EXPEDITION TIGHTS MEN'S","BASE LAYER","BK","No mapping"
"1107717","ZEO-LINE EXPEDITION TIGHTS WOMEN'S","BASE LAYER","BK","No mapping"
"1107720","ZEO-LINE MIDDLE WEIGHT ROUND NECK SHIRT KID'S","KIDS & BABY","BK;NV","No mapping"
"1107721","ZEO-LINE MIDDLE WEIGHT ROUND NECK SHIRT KID'S","KIDS & BABY","BK;NV","No mapping"
"1107727","ZEO-LINE EXPEDITION ROUND NECK SHIRT KID'S","KIDS & BABY","BK;NV","No mapping"
"1107728","ZEO-LINE EXPEDITION ROUND NECK SHIRT KID'S","KIDS & BABY","BK;NV","No mapping"
"1107747","ZEO-LINE LIGHT WEIGHT SHORTS WOMEN'S","BASE LAYER","BK;LBL;TN","No mapping"
"1107749","ZEO-LINE LIGHT WEIGHT ACTIVE SHORTS WOMEN'S","BASE LAYER","BK;LBL;TN","No mapping"
"1107763","ZEO-LINE COOL MESH TRUNKS MEN'S","BASE LAYER","BK;LGY","No mapping"
"1107764","ZEO-LINE COOL MESH BRIEFS MEN'S","BASE LAYER","BK","No mapping"
"1107787","TRAIL TIGHTS MEN'S","SUPPORTER & WARMER","BK;NV","No mapping"
"1107788","TRAIL TIGHTS WOMEN'S","SUPPORTER & WARMER","BK;DGN;DGY;NV;PU","No mapping"
"1107807","SUPER MERINO WOOL LIGHT WEIGHT SOFT BRA","BASE LAYER","BK;LBL","No mapping"
"1107812","TRAIL TIGHTS KID'S","KIDS & BABY","BK;PU","No mapping"
"1107813","TRAIL TIGHTS KID'S","KIDS & BABY","BK;PU","No mapping"
"1107814","JACQUARD TIGHTS KID'S","KIDS & BABY","GY;NV","No mapping"
"1107815","JACQUARD TIGHTS KID'S","KIDS & BABY","GY;NV","No mapping"
"1107816","ZEO-LINE LIGHT WEIGHT SMOOTH SOFT BRA","BASE LAYER","BK;KH;TN","No mapping"
"1107818","ZEO-LINE LIGHT WEIGHT SMOOTH LOW RISE ACTIVE SHORTS WOMEN'S","BASE LAYER","BK;KH;TN","No mapping"
"1107819","ZEO-LINE LIGHT WEIGHT SMOOTH ACTIVE SHORTS WOMEN'S","BASE LAYER","BK;KH;TN","No mapping"
"1107824","SUPER MERINO WOOL LIGHT WEIGHT BRIEFS MEN'S","BASE LAYER","BK","No mapping"
"1107828","ZEO-LINE LIGHT WEIGHT BRIEFS MEN'S","BASE LAYER","BK;LGY","No mapping"
"1107832","SUPER MERINO WOOL EXPEDITION PLUS ROUND NECK SHIRT MEN'S","BASE LAYER","BK","No mapping"
"1107834","SUPER MERINO WOOL EXPEDITION PLUS TIGHTS MEN'S","BASE LAYER","BK","No mapping"
"1107835","SUPER MERINO WOOL EXPEDITION PLUS TIGHTS WOMEN'S","BASE LAYER","BK","No mapping"
"1108377","WOOL KNIT BILL CAP","CAP & HAT","DBN;DKNV;DKOV;OTML","No mapping"
"1108378","WOOL KNIT HUNTING","CAP & HAT","DBN;DKNV;DKOV","No mapping"
"1108379","WOOL KNIT HAT","CAP & HAT","DBN;DKNV;DKOV;OTML","No mapping"
"1108435","PARASOL HAT","CAP & HAT","LTN;MINE;NV","No mapping"
"1108513","POLAR MITTENS KID'S","KIDS & BABY","CPK;IB/DN;OTML","No mapping"
"1108709","CAMOUFLAGE WATCH HAT","CAP & HAT","","No colors"
"1108743","WIDE BRIM HAT","CAP & HAT","BK;BKNV;KH24;OVGN","No mapping"
"1108744","STRETCH O.D. HAT","CAP & HAT","GM;MALD;MSGN;TN","No mapping"
